State,Year,Sex,LaborForce,UnemploymentRate,Employed,Unemployed,SelfEmployedPSTS
Aguascalientes,2014,Male,333439.5,6.3,312530.0,20909.5,3455.5
Aguascalientes,2014,Female,201437.25,5.5,190303.5,11133.75,765.5
Aguascalientes,2015,Male,340442.0,4.9,323843.5,16598.5,3410.0
Aguascalientes,2015,Female,203804.0,3.9,195889.5,7914.5,1191.25
Aguascalientes,2016,Male,346658.5,4.1,332386.25,14272.25,4197.5
Aguascalientes,2016,Female,221482.25,3.7,213184.5,8297.75,960.25
Aguascalientes,2017,Male,351474.0,3.9,337796.75,13677.25,2690.5
Aguascalientes,2017,Female,220556.0,3.2,213449.5,7106.5,782.25
Aguascalientes,2018,Male,362280.0,3.5,349446.5,12833.5,4300.75
Aguascalientes,2018,Female,227733.0,3.3,220222.75,7510.25,962.25
Aguascalientes,2019,Male,374000.0,3.8,359852.0,14148.0,5076.75
Aguascalientes,2019,Female,238238.0,3.1,230826.0,7412.0,1574.25
Aguascalientes,2020,Male,378766.6666666667,5.0,360011.3333333333,18755.333333333332,6158.0
Aguascalientes,2020,Female,242209.33333333334,4.0,232592.66666666666,9616.666666666666,1648.0
Aguascalientes,2021,Male,386149.0,4.5,368785.25,17363.75,4517.5
Aguascalientes,2021,Female,253817.25,3.6,244729.75,9087.5,1777.25
Aguascalientes,2022,Male,391988.0,3.8,376938.0,15050.0,5382.25
Aguascalientes,2022,Female,264772.0,3.7,255026.25,9745.75,2130.5
Aguascalientes,2023,Male,390988.75,3.6,376793.0,14195.75,4485.75
Aguascalientes,2023,Female,277926.25,2.7,270553.25,7373.0,2289.0
Aguascalientes,2024,Male,399720.0,3.5,385925.0,13795.0,4345.75
Aguascalientes,2024,Female,282389.0,2.9,274231.25,8157.75,2367.25
Baja California,2014,Male,958976.75,6.1,900733.75,58243.0,12639.0
Baja California,2014,Female,612779.75,5.1,581668.25,31111.5,4771.75
Baja California,2015,Male,987072.5,4.4,943149.5,43923.0,12957.5
Baja California,2015,Female,609342.25,3.7,586755.25,22587.0,5486.75
Baja California,2016,Male,1005620.25,2.7,978388.0,27232.25,11963.5
Baja California,2016,Female,639580.25,2.7,622605.25,16975.0,5589.5
Baja California,2017,Male,1036607.75,3.0,1005626.5,30981.25,10914.25
Baja California,2017,Female,676799.5,2.6,658912.25,17887.25,4710.25
Baja California,2018,Male,1069354.25,2.5,1042289.0,27065.25,13264.0
Baja California,2018,Female,700987.75,2.5,683526.5,17461.25,5243.0
Baja California,2019,Male,1078995.5,2.7,1049638.75,29356.75,13376.25
Baja California,2019,Female,714973.0,2.3,698628.0,16345.0,5308.5
Baja California,2020,Male,1047546.0,2.9,1016956.0,30590.0,14171.0
Baja California,2020,Female,672818.0,2.1,658768.6666666666,14049.333333333334,7106.0
Baja California,2021,Male,1091119.25,2.5,1063935.0,27184.25,18012.25
Baja California,2021,Female,704329.75,2.5,686996.5,17333.25,7839.0
Baja California,2022,Male,1100254.0,2.7,1070130.25,30123.75,15194.75
Baja California,2022,Female,733701.0,2.0,719232.25,14468.75,7094.75
Baja California,2023,Male,1100497.0,2.3,1075719.0,24778.0,14617.0
Baja California,2023,Female,745588.5,2.1,730160.75,15427.75,6972.0
Baja California,2024,Male,1089898.75,2.7,1060654.75,29244.0,11729.25
Baja California,2024,Female,735502.75,2.3,718885.25,16617.5,7220.5
Baja California Sur,2014,Male,205623.5,5.3,194643.25,10980.25,2294.5
Baja California Sur,2014,Female,133322.25,6.7,124340.25,8982.0,772.25
Baja California Sur,2015,Male,211024.5,4.4,201761.0,9263.5,2516.75
Baja California Sur,2015,Female,135417.25,5.4,128101.25,7316.0,1363.25
Baja California Sur,2016,Male,215474.25,4.3,206199.5,9274.75,1905.0
Baja California Sur,2016,Female,136986.0,5.1,130022.0,6964.0,909.75
Baja California Sur,2017,Male,221260.0,3.7,213174.5,8085.5,2497.25
Baja California Sur,2017,Female,141966.25,5.5,134227.0,7739.25,718.25
Baja California Sur,2018,Male,224648.5,3.4,216956.5,7692.0,2680.5
Baja California Sur,2018,Female,154488.0,4.3,147833.0,6655.0,1049.25
Baja California Sur,2019,Male,241222.0,4.0,231616.25,9605.75,2240.5
Baja California Sur,2019,Female,167649.25,5.2,158939.5,8709.75,1047.75
Baja California Sur,2020,Male,234818.66666666666,5.2,222678.33333333334,12140.333333333334,2296.3333333333335
Baja California Sur,2020,Female,155968.33333333334,5.9,146708.66666666666,9259.666666666666,777.3333333333334
Baja California Sur,2021,Male,248335.75,3.6,239400.75,8935.0,3059.0
Baja California Sur,2021,Female,172490.25,4.7,164403.75,8086.5,1932.25
Baja California Sur,2022,Male,258100.75,2.5,251529.0,6571.75,3611.25
Baja California Sur,2022,Female,181863.75,3.2,175978.5,5885.25,2736.75
Baja California Sur,2023,Male,277922.0,2.5,270980.75,6941.25,3330.75
Baja California Sur,2023,Female,187519.5,3.1,181762.0,5757.5,1864.25
Baja California Sur,2024,Male,276302.75,2.0,270794.5,5508.25,2900.0
Baja California Sur,2024,Female,192024.75,2.7,186932.5,5092.25,2037.0
Campeche,2014,Male,242803.25,2.8,236120.5,6682.75,1422.0
Campeche,2014,Female,134474.25,2.9,130538.0,3936.25,479.5
Campeche,2015,Male,244924.75,2.9,237919.25,7005.5,1818.75
Campeche,2015,Female,135685.75,2.9,131710.75,3975.0,321.25
Campeche,2016,Male,247400.5,3.5,238700.0,8700.5,1503.5
Campeche,2016,Female,134459.0,4.0,129017.0,5442.0,470.25
Campeche,2017,Male,240695.5,3.8,231442.5,9253.0,1922.75
Campeche,2017,Female,142542.0,3.7,137218.5,5323.5,627.75
Campeche,2018,Male,245385.75,3.2,237585.75,7800.0,1813.5
Campeche,2018,Female,146216.0,3.4,141199.5,5016.5,597.25
Campeche,2019,Male,257218.0,2.9,249755.25,7462.75,2055.25
Campeche,2019,Female,157400.25,3.9,151208.75,6191.5,574.75
Campeche,2020,Male,259619.66666666666,3.4,250817.33333333334,8802.333333333334,1931.0
Campeche,2020,Female,151156.33333333334,3.2,146333.0,4823.333333333333,449.33333333333337
Campeche,2021,Male,272431.0,2.7,265002.25,7428.75,2291.0
Campeche,2021,Female,164402.0,3.3,158909.0,5493.0,403.75
Campeche,2022,Male,272162.0,2.3,265991.25,6170.75,2376.0
Campeche,2022,Female,167806.5,3.1,162651.75,5154.75,634.0
Campeche,2023,Male,273482.0,1.6,269077.0,4405.0,2409.25
