state,year,male_employed,female_employed,male_unemployed,female_unemployed,male_labor_force,female_labor_force,male_unemployment_rate,female_unemployment_rate,male_business_owners_psts,female_business_owners_psts
AK,2014,193046.0,159485.0,16642.0,12522.0,209688.0,172007.0,0.07936553355461448,0.07279936281662956,943.0,268.0
AK,2015,193392.0,161374.0,18847.0,11552.0,212239.0,172926.0,0.08880083302314844,0.06680314122803974,894.0,306.0
AK,2016,193057.0,164041.0,18428.0,12536.0,211485.0,176577.0,0.08713620351325153,0.07099452363558108,905.0,338.0
AK,2017,184802.0,160180.0,17248.0,11019.0,202050.0,171199.0,0.08536500866122247,0.06436369371316421,948.0,471.0
AK,2018,183641.0,162128.0,16131.0,9279.0,199772.0,171407.0,0.0807470516388683,0.0541343119009142,898.0,516.0
AK,2019,183089.0,154922.0,11340.0,9310.0,194429.0,164232.0,0.05832463264224987,0.05668809976131326,932.0,
AK,2020,,,,,,,,,845.0,531.0
AK,2021,173973.0,153980.0,13608.0,10995.0,187581.0,164975.0,0.07254466070657475,0.06664646158508865,1012.0,477.0
AK,2022,187542.0,157659.0,9838.0,6646.0,197380.0,164305.0,0.04984294254737055,0.04044916466327866,1004.0,475.0
AK,2023,185089.0,160371.0,10060.0,7445.0,195149.0,167816.0,0.05155035383220001,0.044364065404967346,780.0,493.0
AK,2024,,,,,,,,,,
AK,2025,,,,,,,,,,
AL,2014,1063971.0,966511.0,99428.0,90805.0,1163399.0,1057316.0,0.08546337069225605,0.08588255545172872,5435.0,1575.0
AL,2015,1067761.0,972357.0,78725.0,78819.0,1146486.0,1051176.0,0.06866634219693916,0.07498173474280234,5418.0,1433.0
AL,2016,1070691.0,1007634.0,72283.0,68680.0,1142974.0,1076314.0,0.06324115859153402,0.06381037503925434,5545.0,1341.0
AL,2017,1074365.0,991520.0,66267.0,62035.0,1140632.0,1053555.0,0.05809673935151741,0.058881596119803904,5788.0,1721.0
AL,2018,1088629.0,1005642.0,63979.0,60856.0,1152608.0,1066498.0,0.05550803048391127,0.057061522853301176,5389.0,1711.0
AL,2019,1123381.0,1030086.0,56365.0,55257.0,1179746.0,1085343.0,0.04777723340447859,0.05091201583278281,5661.0,
AL,2020,,,,,,,,,5658.0,1782.0
AL,2021,1134148.0,1056767.0,64762.0,59046.0,1198910.0,1115813.0,0.054017399137549944,0.05291746914581565,5596.0,1544.0
AL,2022,1189585.0,1088909.0,48003.0,55236.0,1237588.0,1144145.0,0.03878754480489468,0.048277097745478066,5128.0,2064.0
AL,2023,1181728.0,1116213.0,50360.0,45699.0,1232088.0,1161912.0,0.04087370382635007,0.03933086154545267,5415.0,2076.0
AL,2024,,,,,,,,,,
AL,2025,,,,,,,,,,
AR,2014,674746.0,594346.0,50794.0,41183.0,725540.0,635529.0,0.07000854535931858,0.06480113417326354,3396.0,796.0
AR,2015,670323.0,600740.0,42216.0,36535.0,712539.0,637275.0,0.05924728330659795,0.05733003805264603,3469.0,868.0
AR,2016,665161.0,617515.0,37460.0,31570.0,702621.0,649085.0,0.053314660393014156,0.048637697682121755,3567.0,997.0
AR,2017,672719.0,624162.0,41445.0,35050.0,714164.0,659212.0,0.058032888804252246,0.05316954181659315,3313.0,1026.0
AR,2018,689487.0,627788.0,32572.0,29300.0,722059.0,657088.0,0.045109887142186444,0.04459067887406253,3527.0,1127.0
AR,2019,688367.0,636724.0,37268.0,29874.0,725635.0,666598.0,0.05135915439580505,0.04481561600844887,3536.0,1242.0
AR,2020,,,,,,,,,3506.0,1055.0
AR,2021,687732.0,635779.0,44959.0,32527.0,732691.0,668306.0,0.061361474345938465,0.04867081845741322,3495.0,1350.0
AR,2022,710594.0,624966.0,30641.0,31718.0,741235.0,656684.0,0.04133776737471922,0.04830024791223785,3280.0,1302.0
AR,2023,720754.0,654797.0,33918.0,25792.0,754672.0,680589.0,0.04494402866410838,0.03789658663304873,3466.0,1314.0
AR,2024,,,,,,,,,,
AR,2025,,,,,,,,,,
AZ,2014,1536201.0,1330428.0,136014.0,110991.0,1672215.0,1441419.0,0.08133762703958522,0.07700120506251132,8795.0,3703.0
AZ,2015,1564955.0,1372555.0,112963.0,103477.0,1677918.0,1476032.0,0.06732331377337868,0.07010484867536747,8414.0,3157.0
AZ,2016,1616370.0,1415411.0,114819.0,96032.0,1731189.0,1511443.0,0.06632378093899627,0.06353663353497287,8826.0,3225.0
AZ,2017,1674070.0,1451884.0,101986.0,90735.0,1776056.0,1542619.0,0.057422738922646585,0.058818801013082296,9466.0,3770.0
AZ,2018,1710664.0,1504472.0,97964.0,83793.0,1808628.0,1588265.0,0.0541648144339245,0.05275756879362071,9076.0,4332.0
AZ,2019,1757623.0,1547679.0,92508.0,84360.0,1850131.0,1632039.0,0.05000078372828735,0.05168994123302201,9854.0,3810.0
AZ,2020,,,,,,,,,10090.0,4628.0
AZ,2021,1779775.0,1535024.0,107916.0,95840.0,1887691.0,1630864.0,0.05716825476203467,0.05876639621697456,10380.0,4395.0
AZ,2022,1855786.0,1585890.0,79630.0,74307.0,1935416.0,1660197.0,0.04114360943590422,0.044757941376836606,10366.0,4948.0
AZ,2023,1866248.0,1627295.0,74695.0,80490.0,1940943.0,1707785.0,0.03848387098436173,0.04713122553483021,10731.0,4843.0
AZ,2024,,,,,,,,,,
AZ,2025,,,,,,,,,,
